pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag,log_period,log_radius,log_insol,log_teff
Kepler-58 b,Kepler-58,2012.0,Transit,10.2184954,2.78,112.992,920.0,0.04453,4.3967,5843.0,1.03,0.95,0.1,969.252,13.643,13.382,13.283,1.0093869537652063,0.4440447959180762,2.053047695883003,3.7666358863102674
Kepler-269 b,Kepler-269,2014.0,Transit,5.326718,2.47,604.9,1007.0,0.06114,3.387,5847.0,0.959,0.92,0.4,2257.32,14.438,14.14,13.961,0.7264597055541766,0.39269695325966575,2.7816835845073506,3.766933093837284
Kepler-300 c,Kepler-300,2014.0,Transit,40.714955,2.25,43.248,516.0,0.05639,8.692,5986.0,0.9,1.07,0.04,1098.45,13.113,12.803,12.742,1.6097539591273213,0.3521825181113625,1.6359660283546502,3.7771367125041726
Kepler-124 d,Kepler-124,2014.0,Transit,30.950851,1.11,10.499,428.0,0.03014,4.196,4984.0,0.636,0.706,-0.46,420.046,12.78,12.314,12.233,1.4906725945362063,0.045322978786657475,1.0211479357209947,3.697578033651113
Kepler-276 d,Kepler-276,2013.0,Transit,48.648,2.8,11.274,489.0,0.06211,4.563,5693.0,1.03,1.1,-0.29,1144.86,14.234,13.867,13.838,1.6870649904046147,0.4471580313422192,1.0520780304841693,3.7553411838115474
Kepler-114 c,Kepler-114,2013.0,Transit,8.041,1.6,51.623,507.0,0.05904,2.6319,4660.0,0.54,0.56,0.2291,259.533,12.035,11.469,11.366,0.9053100621160856,0.2041199826559248,1.7128432393707198,3.66838591669
Kepler-297 b,Kepler-297,2014.0,Transit,38.871826,2.87,16.464,509.0,0.10049,6.125,5619.0,0.915,0.927,-0.11,692.14,13.122,12.785,12.78,1.5896349420487506,0.4578818967339923,1.2165353574183577,3.7496590320949
Kepler-402 c,Kepler-402,2014.0,Transit,6.124821,1.56,353.973,1140.0,0.01484,3.467,6090.0,1.264,1.072,-0.08,625.339,12.303,12.082,11.993,0.7870934008164525,0.1931245983544616,2.5489701366071147,3.784617292632875
Kepler-157 b,Kepler-157,2014.0,Transit,1.732342,1.32,1572.309,1546.0,0.01824,2.186,5774.0,1.044,0.95,-0.0593,773.713,12.939,12.627,12.573,0.23863363482366737,0.12057393120584989,3.196537900359514,3.7614767795447017
Kepler-450 c,Kepler-450,2015.0,Transit,15.413135,2.62,213.731,944.0,0.02468,6.6095,6197.21,1.64162,1.19,0.1278,455.982,10.708,10.472,10.429,1.1878909823087427,0.41830129131974547,2.32986751773043,3.792196212995885
Kepler-81 c,Kepler-81,2012.0,Transit,12.04,2.37,15.62,502.0,0.13169,2.7363,4385.0,0.59,0.64,-0.18,348.291,13.168,12.577,12.392,1.0806264869218056,0.37474834601010387,1.1936810295412814,3.6419695977020594
Kepler-92 b,Kepler-92,2013.0,Transit,13.749,3.51,257.776,975.0,0.04141,6.0538,5883.0,1.7,1.21,0.1381,477.992,10.747,10.47,10.403,1.138271111964449,0.5453071164658241,2.4112424803068886,3.7695988483874463
Kepler-288 c,Kepler-288,2014.0,Transit,19.305772,2.85,53.148,815.0,0.07091,4.192,5918.0,1.091,0.842,-0.24,1194.15,14.0,13.662,13.587,1.2856871728928023,0.4548448600085102,1.7254869263323835,3.7721749608246142
