toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,log_period,log_radius,log_insol,log_teff
2441.01,2441,PC,1,12.8332,91.410152,-51.679614,12.8900899,2.5413229,3520.6971104,2.9698317,4.1214233,363.3971818,3478.0,0.46769,1.110255946285736,0.4727318385992609,0.6150472220017003,3.5413295776666938
2441.02,2441,PC,2,12.8332,91.410152,-51.679614,5.5514857,2.0186927,1282.3227899,2.0319062,12.6719325,481.205367,3478.0,0.46769,0.7444092254587116,0.3079036555003333,1.102842850880866,3.5413295776666938
2446.01,2446,PC,1,10.208,50.942745,-31.265187,18.685862,5.4844,1215.9529886,4.2075538,53.8374071,690.8611696,5926.0,0.987496,1.2715131371446289,0.6240296778014556,1.7310841353675048,3.772761647144032
2453.01,2453,PC,1,12.4223,74.837485,12.936353,4.4414275,1.393441,3375.8183277,3.0014777,21.7489585,550.7815271,3609.0,0.502498,0.6475225772618391,0.4773351210375786,1.337438464576501,3.5573868820595074
2454.01,2454,PC,1,10.7047,64.32265,-7.766009,8.5063687,2.8291905,968.2734253,2.5051088,44.8115834,659.8835801,4431.2,0.82124,0.9297442028437007,0.3988265925639536,1.651390289812025,3.646521352138627
2457.01,2457,PC,1,10.8749,70.167322,-12.890726,14.1993538,2.5629666,1859.1571503,2.7591068,9.8747938,452.1179596,4045.0,0.631569,1.1522685804760162,0.4407685115531114,0.9945280356952427,3.606918525948291
2465.01,2465,PC,1,10.2994,76.737031,-18.904621,3.759205,2.9961712,892.1135724,3.1563691,685.837258,1305.1938483,6808.4,1.01507,0.5750960096566717,0.4991877831053241,2.8362210743984724,3.8330450630415167
2467.01,2467,PC,1,10.2712,65.717639,-12.677035,1.7556616,1.3491032,444.0879481,1.7738475,486.2678796,1197.6740653,4909.0,0.808741,0.2444408103084753,0.24891628023339374,2.6868755832157403,3.6909930320998696
2470.01,2470,PC,1,10.0632,70.428548,-0.600003,7.1853092,2.347,800.0,2.12356,37.1797,687.0,4562.0,0.74,0.8564454615397636,0.3270645362477193,1.5703058811628778,3.6591552809406296
2478.01,2478,PC,1,10.6827,73.554354,1.233623,2.6473916,2.8595222,568.2994163,2.737769,871.0969851,1385.5952225,5748.0,1.1287,0.4228181865375425,0.43739680162939937,2.9400665106321324,3.759516759462188
2479.01,2479,PC,1,9.354,79.709348,-36.037694,36.8382429,4.9462843,965.1649482,3.7858994,24.2324067,565.8728882,5363.1,1.2099299,1.5662989071645264,0.5781690695841049,1.384396549285,3.7294158948641116
2481.01,2481,PC,1,10.6675,77.804406,2.427361,11.994832,3.374,1260.0,3.11124,57.2917,766.0,5567.0,0.86,1.0789941696040655,0.49293351373017363,1.7580917091350277,3.7456212213069384
2482.01,2482,PC,1,9.6254,71.518246,-15.343431,14.9315582,4.729,590.0,1.58293,41.9664,709.0,4779.1,0.61,1.174105131392182,0.19946171000707597,1.6229017157639796,3.6793461179854976
